Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Record_No,Status,Expiration_Date,DBA,Owner / Community_Name,Location_Address,Mailing_Address,County,Community_Phone,Total_#_Sites,Issued_Date,Operator_Name,Operator_Phone,Operator_email,latitude,longitude,House district,Senate district
11,11,11,1201769,Issued,2024-10-01,B & J MOBILE HOME PARK,,"56360 59 1/2 STREET, HARTFORD MI 49057","66 W 11TH DRIVE, MESA, AZ 85210",VAN BUREN,4802008989,10,05/20/2020,SUSAN JARVIS-ORR,4802008989,JARVISRENTALS@AOL.COM,42.2067051,-86.1666876,,
12,12,12,1201915,Issued,2024-10-01,,,"11985 MARSH ROAD, SHELBYVILLE MI 49344","10455 RIVERSIDE DRIVE, STE. 210, PALM BEACH GARDENS, FL 33410",BARRY,5176552253,92,02/23/2022,AMIN J KHOURY,2622157111,kcreager@mcmhomes.us,42.587762,-85.5232069,,
13,13,13,1201929,Issued,2024-10-01,,,"61600 YOUNGMAN ROAD, THREE RIVERS MI 49093","5366 WHIPPOORWILL DRIVE, KALAMAZOO, MI 49009",ST JOSEPH,9733880067,41,04/13/2022,JUSTIN BUSH,9733880067,JBUSH6801@GMAIL.COM,41.9015989,-85.7078281,,
14,14,14,1201969,Issued,2024-10-01,L'ANSE MHP,,"ROUTE 2, L'ANSE MI 49946","P.O. BOX 441, MONTGOMERY, TX 77356",BARAGA,8322891096,37,09/01/2022,MARTIN SMITH,8322891096,martinsmith813@gmail.com,46.747936,-88.466317,,
15,15,15,1202004,Issued,2024-10-01,,,"21331 HAMILTON AVE, FARMINGTON HILLS MI 48336","606 N. SAGINAW ST., STE A, LAPEER, MI 48446",OAKLAND,8106607667,36,01/26/2023,TINA HACKNEY,8106607667,tina@tccmanagement.com,42.4479002,-83.330246,,
16,16,16,1202030,Issued,2024-10-01,,,"10825 RAWSONVILLE ROAD, BELLEVILLE MI 48111","5050 S SYRACUSE ST., STE. 1200, DENVER, CO 80237",WAYNE,7344616700,536,06/23/2023,JOSHUA SONNE,3034837300,businesslicensing@yescommunities.com,42.13131509999999,-83.5343375,,
17,17,17,1200024,Expired,2024-10-01,LAKEVIEW MOBILE HOME COURT,,"745 EAST HURON RIVER DRIVE, BELLEVILLE, MI 48111","201 POTTER DR APT B, BELLEVILLE, MI 48111",WAYNE,7342624511,60,12/20/1978,JEAN LEBLANC,734-502-1604,lindaleblanc60@yahoo.com,42.2099369,-83.4741816,,
18,18,18,1200036,Expired,2024-10-01,AUSABLE MOBILE HOME VILLAGE,,"331 FIRST ST, OSCODA, MI 48750","PO BOX 233, OSCODA, MI 48750",IOSCO,No Phone,27,01/09/1979,DEBRA JOHNSON,2485639481,HEN97@AOL.COM,44.41112469999999,-83.3310021,,
19,19,19,1200068,Expired,2024-10-01,,,"505 NORTH ROCHESTER ROAD, LEONARD, MI 48051","4600 COX RD STE 400, GLEN ALLEN, VA 23060",OAKLAND,No Phone,269,01/31/1979,ROSS DEBOLT,8048643687,SGAYNER@PINDV.COM,42.8087597,-83.1344826,,
20,20,20,1200073,Expired,2024-10-01,,,"4871 CLINTONVILLE ROAD, CLARKSTON, MI 48346","1080 PITTSFORD-VICTOR ROAD, STE. #202, PITTSFORD, NY 14534",OAKLAND,5855862828,180,01/31/1979,KENNETH C BURNHAM,5855862828,,42.7108776,-83.3493151,,
21,21,21,1200079,Expired,2024-10-01,"RIVERS EDGE, A QUIET COMMUNITY",,"60 HATHAWAY STREET, ST. CLAIR, MI 48054","12900 HALL RD STE 322, STERLING HEIGHTS, MI 48313",ST CLAIR,No Phone,51,02/01/1979,STACY BUSS,5863545044,stacybuss@me.com,42.8062118,-82.4884,,
22,22,22,1200082,Expired,2024-10-01,,,"1061 WILSON AVENUE, WALKER, MI 49504","31200 NORTHWESTERN HWY, FARMINGTON HILLS, MI 48334",KENT,2486260737,238,02/01/1979,JOEL BROWN,2486260737,,42.981994,-85.7807603,,
23,23,23,1200087,Expired,2024-10-01,,,"10409 WASHINGTON AVENUE, OSSINEKE, MI 49766","7991 BEAVER LK RD, HUBBARD LAKE, MI 49747",ALPENA,No Phone,10,02/01/1979,JOHNNY W SCHULTZ,9899166969,,44.9244563,-83.4222495,,
24,24,24,1200092,Expired,2024-10-01,,,"60630 VAN DYKE, WASHINGTON, MI 48094","60630 VAN DYKE, WASHINGTON, MI 48094",MACOMB,No Phone,107,02/01/1979,DENNIS WHITING,5867814562,whitingcon@hotmail.com,42.7405021,-83.028493,,
25,25,25,1200103,Expired,2024-10-01,,,"4600 N VAN DYKE, ALMONT MI 48003","217 PIERCE ST STE 209, BIRMINGHAM, MI 48009",LAPEER,2483569900,233,02/01/1979,ARI DARAKJIAN,2483569900,,42.9327372,-83.0553487,,
26,26,26,1200106,Expired,2024-10-01,,,"2701 CALHOUN RD, ALBION MI 49224","217 PIERCE STREET, STE. 209, BIRMINGHAM, MI 48009",CALHOUN,No Phone,73,02/02/1979,ARA DARAKJIAN,2483569900,ara.d@rma1.cc,42.2696957,-84.7201482,,
27,27,27,1200122,Expired,2024-10-01,LAKESHORE VILLAGE MOBILE HOME PARK,,"35922 E. JEFFERSON, HARRISON TWP., MI 48043","25235 ANCHORAGE, HARRISON TWP, MI 48045",MACOMB,No Phone,45,02/02/1979,KAMLESH KALIA,5868508476,kaliakamlesh@gmail.com,42.5988654,-82.8802133,,
28,28,28,1200131,Expired,2024-10-01,,,"429 BALSAM, ROGERS CITY, MI 49779","3782 WATUGA, WALLED LAKE, MI 48390",PRESQUE ISLE,2483630999,64,02/02/1979,VAN MAMULA,2483630999,,45.4200699,-83.8352071,,
29,29,29,1200132,Expired,2024-10-01,,,"36530 JEFFERSON AVE, MT. CLEMENS, MI 48045","36530 JEFFERSON AVE, ,  # 104HARRISON TWP, MI 48045",MACOMB,No Phone,134,02/02/1979,GEORGE HANNISH,586-421-5645,,42.5972563,-82.8779754,,
30,30,30,1200142,Expired,2024-10-01,HOLTS MOBILE HOME COURT AND SALES,,"6576 N DORT HWY, FLINT, MI 48505","6576 N DORT HWY, FLINT, MI 48505",GENESEE,8107875289,57,02/02/1979,OTHIE L HOLT,8107875289,,43.0724718,-83.6735183,,
31,31,31,1200168,Expired,2024-10-01,CITY OF ROSE CITY TRAILER PARK,,"410 N. WILLIAMS STREET, ROSE CITY, MI 48654","410 N WILLIAMS PO BOX 279, ROSE CITY, MI 48654",OGEMAW,5176852103,16,02/06/1979,DAVE REASHER,9896852103,cityhall@m33access.com,44.4247983,-84.1157639,,
32,32,32,1200173,Expired,2024-10-01,,,"2451 BLACK RIVER ST, DECKERVILLE, MI 48427","12900 HALL ROAD STE 322, STERLING HEIGHTS, MI 48313",SANILAC,No Phone,43,02/12/1979,STACY O BUSS,5863545044,stacybuss@me.com,43.5267569,-82.7371383,,
33,33,33,1200179,Expired,2024-10-01,,,"117 BURCH RD STE B, COLDWATER MI 49036","478 MARSHALL STREET, COLDWATER, MI 49036",BRANCH,5172786646,56,02/13/1979,ALAN KEITH AVRA,5172786646,keith@avraestates.net,41.9690224,-85.0575395,,
34,34,34,1200182,Expired,2024-10-01,,,"900 MOBILE BLVD., NILES, MI 49120","22W475 CHERRY LN, GLEN ELLYN, IL 60137-3789",CASS,8473370202,80,02/13/1979,MARY VERLARE,6305346404,kaylynn331@icloud.com,41.8222234,-86.2066283,,
35,35,35,1200184,Expired,2024-10-01,LINDEN MOBILE HOME PARK,,"19350 STATE LINE RD, EDWARDSBURG, MI 49112","19350 STATE LINE RD, EDWARDSBURG, MI 49112",CASS,6166417363,57,02/16/1979,LINDEN R JONES,6166417363,,41.76017239999999,-85.9418821,,
36,36,36,1200195,Expired,2024-10-01,,,"27 W GARFIELD AVENUE, COLDWATER, MI 49036","478 MARSHALL STREET, COLDWATER, MI 49036",BRANCH,5172788464,33,02/27/1979,ALAN KEITH AVRA,5172788464,keith@avraestates.net,41.9270691,-85.0067029,,
37,37,37,1200198,Expired,2024-10-01,,,"2467 108TH AVE LOT #1, OTSEGO MI 49078","114 PROSPECT ST, OTSEGO, MI 49078",ALLEGAN,6162172133,14,03/01/1979,CAROL H BROCK,2692172133,,42.4786278,-85.7849755,,
38,38,38,1200199,Expired,2024-10-01,,,"117 WESLER DR LOT 50, GOBLES, MI 49055","PO BOX 888244, GRAND RAPIDS, MI 49588",ALLEGAN,No Phone,75,03/01/1979,SHEILA M DEMOREST,6164584949,,42.4292603,-85.8660282,,
39,39,39,1200211,Expired,2024-10-01,MAPLE VIEW MOBILE HOME PARK,,"124 WARREN DR, CRYSTAL FALLS MI 49920","122 SHERIDAN DR, CRYSTAL FALLS, MI 49920",IRON,9068756055,15,03/02/1979,KENNETH R SANTI,9068756055,,46.0920633,-88.3679949,,
40,40,40,1200213,Expired,2024-10-01,WHITE BIRCH VILLAGE,,"W8095 SOUTH U.S. 2, IRON MT MI 49801","PO BOX 580488, PLEASANT PRAIRIE, WI 53158",DICKINSON,2626974888,249,03/02/1979,JOHN L PARRISH,2626974888,john@parrishpropertiellc.com,45.8319481,-88.0591215,,
41,41,41,1200222,Expired,2024-10-01,,,"800 WEST MIER ROAD, SANFORD, MI 48657","4412 ALVARADO DR., BAY CITY, MI 48706",MIDLAND,9896841826,116,03/20/1979,HENRY JOHNSON,9896841826,ceasar11@sbcglobal.net,43.7156793,-84.3992189,,
42,42,42,1200231,Expired,2024-10-01,ALGOMA ESTATES MANUFACTURED HOME COMMUNITY,,"4456 13 MILE, ROCKFORD, MI 48341","31200 NORTHWESTERN HWY, FARMINGTON HILLS, MI 48334",KENT,2486260737,343,03/20/1979,JOEL K BROWN,2486260737,LICENSES@RHP.COM,43.1200272,-85.5600316,,
43,43,43,1200234,Expired,2024-10-01,SILVER CREEK ESTATES,,"627 WILLOW RD., LOT 101, MARQUETTE, MI 49855","1613 LOEBRICH DR, GLADWIN, MI 48624",MARQUETTE,9892499713,104,03/20/1979,GEORGE BERGEVIN,9892499713,,46.48871949999999,-87.3603077,,
44,44,44,1200242,Expired,2024-10-01,WESTWOOD VILLAGE MOBILE HOME ESTATE,,"3365 WEST PASADENA, FLINT, MI 48504","38505 WOODWARD AVE., BLOOMFIELD HILLS, MI 48303",GENESEE,2484331114,152,03/20/1979,RONALD K WEISS,2484331114,DOUG@ROLOMGMT.COM,43.04170209999999,-83.7478021,,
45,45,45,1200252,Expired,2024-10-01,,,"2835 SOUTH WAGNER #200, ANN ARBOR, MI 48103","31200 NORTHWESTERN HWY, FARMINGTON HILLS, MI 48334",WASHTENAW,2486260737,290,03/20/1979,JOEL BROWN,2486260737,Kvreeland@rhp.com,42.2468018,-83.796005,,
46,46,46,1200258,Expired,2024-10-01,SANDY PINES TRAILER PARK,,"95 W. 15 MILE RD., LOT #23, SAULT STE. MARIE, MI 49783","95 W 15 MILE RD LOT #23, SAULT STE MARIE, MI 49783",CHIPPEWA,9066478700,14,03/20/1979,BRIAN MASTAW,9066478700,brmastaw50@gmail.com,46.287279,-84.365777,,
47,47,47,1200273,Expired,2024-10-01,,,"17990 NORTH SHORE ROAD, FERRYSBURG, MI 49409","2015 SPRING RD STE 600, OAK BROOK, IL 60523",OTTAWA,6306458100,96,03/23/1979,LESLEY PIZER,6306458100,LESLEY-PIZER@CONTINENTALCOMMUNITIES.COM,43.08443680000001,-86.2343389,,
48,48,48,1200278,Expired,2024-10-01,LAKEVIEW MOBILE HOME PARK,,"5767 MAIN STREET, LEXINGTON, MI 48450","31550 NORTHWESTERN HWY., STE. 220, FARMINGTON HILLS, MI 48334",SANILAC,No Phone,38,03/20/1979,ANDREW MACHNACKI,248-865-0066,MSRECOMPLIANCE@MSHAPIROREALESTATE.COM,43.2625325,-82.5300839,,
49,49,49,1200281,Expired,2024-10-01,,,"6609 S. RIVER RD., MARINE CITY, MI 48039","PO BOX 160, MARINE CITY, MI 48039",ST CLAIR,No Phone,38,03/20/1979,ELLEN ROBICHEAOX,9283082713,MARINECITYPROPERTY@YAHOO.COM,42.7061726,-82.5000633,,
50,50,50,1200297,Expired,2024-10-01,,,"4041 GRANGE HALL ROAD, HOLLY, MI 48442","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034",OAKLAND,2486348511,192,03/23/1979,BRUCE THELEN,2482082500,LICENSING@SUNCOMMUNITIES.COM,42.8066296,-83.6262508,,
51,51,51,1200299,Expired,2024-10-01,WHITE PINES MOBILE HOME PARK,,"29530 M-152, DOWAGIAC, MI 49047","29530 M 152 #8, DOWAGIAC, MI 49047",CASS,2694839940,36,03/23/1979,JOEL E REINOEHL,2694839940,,42.0567304,-86.1371043,,
52,52,52,1200324,Expired,2024-10-01,SEAWAY TRAILER COURT,,"9708 NORTH RIVER ROAD, ALGONAC, MI 48001","9708 NORTH RIVER RD, ALGONAC, MI 48001",ST CLAIR,8107943382,12,03/23/1979,"EDWARD KELLER, II",8107943382,,42.6390767,-82.5166506,,
53,53,53,1200337,Expired,2024-10-01,,,"500 PIONEER ROAD, MARQUETTE, MI 49855","1613 LOEBRICH DR, GLADWIN, MI 48624",MARQUETTE,5173454511,77,03/28/1979,GEORGE BERGEVIN,5173454511,,46.5282286,-87.4020545,,
54,54,54,1200343,Expired,2024-10-01,COLONIAL MANOR MHC,,"5500 W KL AVE, KALAMAZOO MI 49009","29200 NORTHWESTERN HWY, STE. 300, SOUTHFIELD, MI 48034",KALAMAZOO,2693750982,193,03/28/1979,JEFFREY DAVIDSON,2487783198,,42.2783679,-85.6584976,,
55,55,55,1200354,Expired,2024-10-01,DORSEY'S ON GLEN LAKE,,"8648 S. DORSEY PARK RD., EMPIRE, MI 49630","7664 W GLENMERE RD, EMPIRE, MI 49630",LEELANAU,2313343419,31,03/28/1979,CHRISTINE R SHUGART,2313343419,,44.856198,-86.012899,,
56,56,56,1200368,Expired,2024-10-01,,,"429 ELLSWORTH ST, ST. IGNACE, MI 49781","429 ELLSWORTH ST, ST IGNACE, MI 49781",MACKINAC,9066439418,35,03/28/1979,NEIL HILL,9066439418,neilhill@sbcglobal.net,45.86980699999999,-84.743863,,
57,57,57,1200385,Expired,2024-10-01,,,"14809 W-M60, THREE RIVERS MI 49093","410 PRAIRIE STREET, STURGIS, MI 49091",ST JOSEPH,No Phone,32,03/28/1979,LORAN M MELVIN,2603362980,LORANMELVIN@GMAIL.COM,41.9439368,-85.632493,,
58,58,58,1200398,Expired,2024-10-01,,,"2875 SOUTH CHARLTON PARK ROAD, HASTINGS, MI 49058","2875 SOUTH CHARLTON PARK RD, HASTINGS, MI 49058",BARRY,2699454762,50,03/30/1979,MARIE BARRY,2699454762,,42.6148406,-85.2112785,,
59,59,59,1200401,Expired,2024-10-01,,,"2832  STAINES RD. S.E., STANTON, MI 48888","2832 STAINES RD SE, STANTON, MI 48888",MONTCALM,9898314554,6,03/30/1979,CARL N SHAFFER,9898314554,,43.2574152,-85.0533588,,
60,60,60,1200410,Expired,2024-10-01,"OAKS MOBILE HOME PARK, THE",,"3240 GETTY STREET, MUSKEGON, MI 49444","2804 ORCHARD LAKE RD STE 203, KEEGO HARBOR, MI 48320",MUSKEGON,2485148128,172,04/06/1979,TODD ROSENZWEIG,248 514 8128,todd@squarelakegroup.com,43.1936169,-86.2252151,,
61,61,61,1200456,Expired,2024-10-01,,,"48401 RUSH LAKE RD LOT 1, HARTFORD, MI 49057","64245 CR 372, HARTFORD, MI 49057-0710",VAN BUREN,2696214684,20,04/13/1979,PAULA A WARKENTIEN,2696214684,,42.2429004,-86.2112097,,
62,62,62,1200488,Expired,2024-10-01,MARLIN VILLAGE MOBILE HOME PARK,,"2995 DETROIT RD, NILES MI 49120","PO BOX 4720, TROY, MI 48099",CASS,2487409490,38,04/24/1979,ADAM SCHWERIN,2482141811,aschwerine@birchrealty.com,41.8453165,-86.1476086,,
63,63,63,1200499,Expired,2024-10-01,,,"25039 WEST US-12, STURGIS, MI 49091","PO BOX 305, BIRMINGHAM, MI 48012",ST JOSEPH,2488552550,227,04/25/1979,RICHARD PUZZUOLI,(248) 515-9250,,41.7950593,-85.46635262,,
64,64,64,1200503,Expired,2024-10-01,MEADOWVIEW VILLAGE MOBILE HOME PARK,,"1307 LOCUST STREET, FREMONT, MI 49412","PO BOX 20, STEVENSVILLE, MI 49127",NEWAYGO,No Phone,86,05/10/1979,WILFRIED W SMAKA,2694221884,mjfwws@juno.com,43.4642422,-85.9688558,,
65,65,65,1200506,Expired,2024-10-01,RILEYS MOBILE HOME COURT,,"3700 NORTH HILLSDALE ROAD, HILLSDALE, MI 49242","22450 WHITE PINE DR, NEW BOSTON, MI 48164",HILLSDALE,3137024040,28,05/10/1979,WARREN C YOUNG,3137024040,,41.9526536,-84.6316691,,
66,66,66,1200513,Expired,2024-10-01,,,"2701 CRYSTAL LAKE ROAD, WHITEHALL, MI 49461","217 PIERCE STE 209, BIRMINGHAM, MI 48009",MUSKEGON,No Phone,104,04/05/1979,ARA DARAKJIAN,2483569900,ara.d@rmal.cc,43.398655,-86.3090678,,
67,67,67,1200533,Expired,2024-10-01,,,"3017 JOHNSON RD, STEVENSVILLE, MI 49127","2015 SPRING RD STE 600, OAK BROOK, IL 60523",BERRIEN,No Phone,106,05/11/1979,LESLEY PIZER,6306458100,lesley.pizer@continentalcommunities.com,42.0073584,-86.5213613,,
68,68,68,1200539,Expired,2024-10-01,LOMBARDINI TRAILER PARK,,"1228 M-89 WEST, PLAINWELL, MI 49080","422 WALDEN DR, OTSEGO, MI 49078",ALLEGAN,2696942842,50,05/11/1979,ROBERT L LOMBARDINI,2696942842,,42.44452,-85.650994,,
69,69,69,1200544,Expired,2024-10-01,BROOMFIELD VALLEY MOBILE HOME PARK,,"6553 WEST REMUS ROAD, MT. PLEASANT, MI 48858","6553 WEST REMUS RD, MT PLEASANT, MI 48858",ISABELLA,9896442650,127,05/11/1979,TED LUEDER,9896442650,roxlueder@gmail.com,43.5958945,-84.981865,,
70,70,70,1200560,Expired,2024-10-01,MAPLE HILL VILLAGE,,"100 MAPLE HILL, HARTFORD MI 49057","6557 ALAKOKO DR, DIAMONDHEAD, MS 39525",VAN BUREN,No Phone,99,05/11/1979,MICHAEL E CONLEY,2282556626,resinvprop@gmail.com,42.2017756,-86.1697686,,
71,71,71,1200564,Expired,2024-10-01,COUNTRY VILLAGE MHP,,"14624 32ND AVENUE, MARNE, MI 49435","610 4 MILE RD NW, COMSTOCK PARK, MI 49321",OTTAWA,6163183426,31,05/15/1979,LUKE T VANDENBERG,6163184263,,43.0357881,-85.8661351,,
72,72,72,1200571,Expired,2024-10-01,,,"24054 M-43 HWY, MATTAWAN MI 49071","24054 M-43 HWY LOT #39, MATTAWAN, MI 49071",VAN BUREN,2692172133,41,05/15/1979,DAVID WALKER,2692172133,CALLWALKER1964@GMAIL.COM,42.2960947,-85.7866158,,
73,73,73,1200573,Expired,2024-10-01,COUNTRYSIDE MOBILE PARK,,"191 NORTH FILLMORE ROAD, COLDWATER, MI 49036","PO BOX 155, QUINCY, MI 49082",BRANCH,No Phone,24,05/15/1979,MARILYN OSTRANDER,5176394608,ostrandermarilyn@yahoo.com,41.9114269,-85.0217608,,
74,74,74,1200581,Expired,2024-10-01,,,"03750 67TH STREET, SOUTH HAVEN, MI 49090","75528 16TH AVE, SOUTH HAVEN, MI 49090",VAN BUREN,2696372565,49,05/15/1979,SCOTT R MITCHELL,2696372565,scottmit71@gmail.com,42.4055296,-86.1988608,,
75,75,75,1200610,Expired,2024-10-01,,,"198 FESCUE S.E., KENTWOOD, MI 49548","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034",KENT,2482082500,195,05/29/1979,BRUCE THELEN,2482082500,LICENSING@SUNCOMMUNITIES.COM,42.8565955,-85.6588283,,
76,76,76,1200611,Expired,2024-10-01,CLIFF VIEW TRAILER PARK,,"3200 NORTH M-63, BENTON HARBOR, MI 49022","139 INVERNESS LN, SCHERERVILLE, IN 46375",BERRIEN,2198656180,10,05/30/1979,JAMES P MONTELLA,2198656180,bluegilljcm@sbcglobal.net,42.1167065,-86.4541894,,
77,77,77,1200617,Expired,2024-10-01,WELLERS TRAILER PARK,,"8928 66TH STREET, ALTO, MI 49302","8980 66TH ST, ALTO, MI 49302",KENT,No Phone,21,05/30/1979,JO A CARNEY,6168686950,jcarney18@yahoo.com,42.8450505,-85.4446605,,
78,78,78,1200624,Expired,2024-10-01,,,"220 HIAWATHA DR, IRON RIVER MI 49935","PO BOX 327, IRON RIVER, MI 49935",IRON,2315476997,21,06/19/1979,ALBERT L SHINDORF,2315476997,,46.0731162,-88.6448698,,
79,79,79,1200625,Expired,2024-10-01,,,"8741 0.8 LANE, GLADSTONE MI 49837","P.O. BOX 218, WELLS, MI 49894",DELTA,9067863000,6,06/19/1979,PHILIP LAMARCH,9062418362,trish@philandlees.com,45.8527435,-87.0218049,,
80,80,80,1200626,Expired,2024-10-01,,,"15011 WEST MICHIGAN, MARSHALL, MI 49068","6261 20 MILE ROAD, HOMER, MI 49245",CALHOUN,No Phone,33,06/19/1979,SHIRLEE PERCIVAL,517-392-6878,saddierose2015@gmail.com,42.2704313,-85.0023812,,
81,81,81,1200627,Expired,2024-10-01,,,"110 S STATE HWY M553, GWINN MI 49841","110 S STATE HWY M553, GWINN, MI 49841",MARQUETTE,9068696872,14,06/19/1979,MICHAEL J BARABE,9068696872,SANDSTRAILERCOURTLLC@GMAIL.COM,46.2795134,-87.4142651,,
82,82,82,1200636,Expired,2024-10-01,,,"3239 CLOVER PKWY, MUSKEGON MI 49444","9515 HILLWOOD DRIVE, LAS VEGAS, NV 89134",MUSKEGON,2317773797,223,06/19/1979,EMILY WISURI,7025416378,compliance@osprey-management.com,43.1923911,-86.1502936,,
83,83,83,1200642,Expired,2024-10-01,BIG TREES MOBILE HOME PARK,,"28433 JOY RD, WESTLAND MI 48185","2908 E LONG LAKE RD, TROY, MI 48098",WAYNE,2486892296,67,06/19/1979,LINDA K YOO,7345251505,,42.3533471,-83.3234356,,
84,84,84,1200644,Expired,2024-10-01,VILLAGE ESTATES MHP,,"2580 HOLMES, YPSILANTI, MI 48197","21155 PENUNURI PLACE, MORENO VALLEY, CA 92557",WASHTENAW,7344875332,75,06/19/1979,JOSEPH CARTER,7344875332,,42.2535167,-83.5599783,,
85,85,85,1200654,Expired,2024-10-01,,,"9720 EAST LANSING RD, DURAND MI 48429","9724 E LANSING RD, DURAND, MI 48429",SHIAWASSEE,9892882493,14,06/19/1979,VICTOR VANSLAMBROUCK,9892882493,,42.924475,-83.9736511,,
86,86,86,1200667,Expired,2024-10-01,,,"18505 NORTHLAND DRIVE, BIG RAPIDS, MI 49307","18505 NORTHLAND DR, BIG RAPIDS, MI 49307",MECOSTA,No Phone,80,06/29/1979,ESTHER FENSTERMACHER,2317962617,,43.734499,-85.507069,,
87,87,87,1200676,Expired,2024-10-01,,,"780 127TH AVENUE, SHELBYVILLE, MI 49344","8929 N 14TH ST, KALAMAZOO, MI 49009",ALLEGAN,2697605995,25,06/29/1979,DOLORES A ROHLOFF,2697605995,,42.615901,-85.620176,,
88,88,88,1200677,Expired,2024-10-01,CANDLE WICK COURT,,"1800 CANDLEWICK DRIVE, OWOSSO, MI 48867","1800 CANDLEWICK DR, OWOSSO, MI 48867",SHIAWASSEE,No Phone,211,06/29/1979,SHIRLEY KLINERT,7656691600,JASONFARMERUMH@OUTLOOK.COM,42.9802527,-84.189666,,
89,89,89,1200702,Expired,2024-10-01,MALL MOBILE PARK,,"20 NORTH TILDEN, PONTIAC, MI 48328","14007 CASTLE, WARREN, MI 48808-3217",OAKLAND,No Phone,41,07/13/1979,GEORGE THOMPSON,5869454434,,42.6357501,-83.3280019,,
90,90,90,1200706,Expired,2024-10-01,,,"1266 CARL ROAD, TRAVERSE CITY, MI 49684","2015 SPRING RD STE 600, OAK BROOK, IL 60523",GRAND TRAVERSE,6306458106,200,07/13/1979,LESLEY PIZER,6306458106,LESLEY.PIZER@CONTINENTALCOMMUNITIES.COM,44.6732833,-85.6810564,,
91,91,91,1200715,Expired,2024-10-01,MAPLE GROVE MOBILE HOME COMMUNITY,,"G-4493 FENTON ROAD, BURTON, MI 48529","20 SHALLOW BROOK RD, MORGANVILLE, NJ 07751",GENESEE,No Phone,101,07/13/1979,PRABIN DUTTA,8045506892,pdutta@cosmonetllc.com,42.9753917,-83.6928414,,
