Record_No,DBA,Location_Address,Total_#_Sites,House district,Senate district
1201272,WHISPERING WOODS MHC,"4263 BISSIONETTE RD., OSCODA, MI 48750",34,99,36
1201275,,"2721 SOUTH DR, HALE, MI 48739",30,99,36
1201289,MYRTLE GROVE MOBILE HOME PARK OF FLINT,"3073 W. DAYTON, FLINT, MI 48504",99,69,27
1201301,PORT OF CALL,"4125 DOVE ROAD, PORT HURON, MI 48060",146,64,25
1201304,VALLEY MEADOW VILLAGE,"G-4152 CORUNNA RD., FLINT, MI 48532",84,69,27
1201311,SCHMID FARM ESTATES,"5540 N. STATE, ORLEANS, MI 48865",14,78,33
1201312,,"4850 S. HURON, STANDISH, MI 48658",3,99,36
1201315,,"1723 CRANBERRY LAKE CIRCLE, SAGINAW, MI 48609",43,93,26
1201358,,"3333 RAVENSWOOD, MARYSVILLE MI 48040",232,64,25
1201364,,"6458 S DIXIE HWY, ERIE MI 48133",20,30,16
1201365,EAGLE POINTE CREEK,"4385 S ELM ROAD, SWARTZ CREEK MI 48473",180,69,27
1201370,,"3527 HOYT STREET, MUSKEGON HEIGHTS MI 48444",73,87,32
1201399,POTTER MOBILE HOME PARK,"4470 9TH ST, ECORSE MI 48229",42,2,1
1201400,PELHAM MOBILE HOME PARK,"4128 PELHAM ST, DEARBORN HEIGHTS MI 48125",67,15,2
1201407,,"7769 KIMBERLY DRIVE, NEWPORT MI 48166",388,29,16
1201422,,"600 W 5TH STREET, CLARE MI 48617",57,100,34
1201427,MEADOWS MOBILE HOME PARK,"411 S GROVER, ALMA MI 48801",93,92,34
1201437,,"2889 SANDPIPER STREET, ROCHESTER HILLS MI 48039",616,55,9
1201442,LAKE PONEMAH MOBILE HOME PARK,"14214 EASTVIEW DRIVE, FENTON MI 48430",61,72,22
1201463,,",",181,42,19
1201464,,"21395 INKSTER, FARMINGTON HILLS MI 48336",32,18,6
1201465,,"41875 CAROUSEL STREET, NOVI MI 48377",733,49,13
1201467,,"9620 HIGHLAND RD, WHITE LAKE MI 48386",328,51,23
1201469,SWAN LAKE MOBILE HOME COMMUNITY,"4319 SWAN LAKE DR, ALLEGAN MI 49010",47,39,20
1201471,,"10500 LAPEER ROAD, DAVISON MI 48423",200,68,26
1201475,,"2179 HULL ROAD, MASON MI 48854",269,73,21
1201476,,"07120 68TH ST, SOUTH HAVEN MI 49090",50,39,20
1201477,,"504 NORTH MAIN STREET, YALE MI 48097",42,65,25
1201489,,"23379 ISLAND DRIVE, NEW BOSTON MI 48164",304,29,4
1201507,ARBOR WOODS,"1993 ARBOR WOOD BLVD, YPSILANTI MI 48198",458,32,15
1201508,,"1121 BARE POINT RD, ALPENA MI 49707",36,106,36
1201509,LAKE FOREST,"905 E. 96TH STREET, GRANT MI 49327",74,101,33
1201512,,"1525 E LAMBERTON LAKE DRIVE, GRAND RAPIDS MI 49525",52,81,30
1201514,,"41275 OLD MICHIGAN ROAD, CANTON MI 48188",446,25,5
1201518,CARRIAGE MANOR ESTATES,"2211 SOUTH DORT HIGHWAY, FLINT MI 48167",53,70,27
1201520,ARBOR VILLAGE ML,"7940 S CIRCLE DR, PARMA MI 49269",265,45,14
1201521,,"734 CAMBRIDGE DRIVE, COLDWATER MI 49036",32,35,17
1201533,,"G-5182 S DORT HIGHWAY, FLINT MI 48507",56,72,27
1201536,,"37781 SANDSTONE TRAIL, LENOX MI 48048",463,65,25
1201537,ORCHARD COVE MHC,"201 ORCHARD COVE DR, OTISVILLE MI 48463",117,67,26
1201541,OLD DUTCH FARMS,"27000 NAPIER ROAD, NOVI MI 48374",299,21,13
1201543,DELHI MANOR,"4075 EAST HOLT ROAD, HOLT MI 48842",286,74,21
1201545,STONEGATE MHC,"2700 EATON RAPIDS ROAD, LANSING MI 48911",308,74,21
1201546,TIMBERLANDS,"3375 EAST MICHGAN AVE, YPSILANTI MI 48198",185,32,15
1201547,YANKEE SPRINGS MEADOWS,"1330 N PATTERSON RD, WAYLAND MI 49348",284,43,18
1201548,,"2425 DOUGLAS AVE, KALAMAZOO MI 49007",187,41,19
1201550,DUTCH HILLS,"16400 UPTON ROAD, EAST LANSING MI 48823",278,75,28
1201554,,"6830 E. N. AVE, KALAMAZOO MI 49048",531,42,19
1201560,TWINLEAF,"3614 STADIUM DR, KALAMAZOO MI 49008",185,41,19
1201562,THE RAVINES MOBILE HOME COMMUNITY,"73100 COUNTY ROAD 388, SOUTH HAVEN MI 49090",106,38,20
1201563,PLEASANT VIEW ESTATES,"7604 RED ARROW HIGHWAY, WATERVLIET MI 49098",209,39,20
1201568,,"3423 CARPENTER ROAD, YPSILANTI MI 48197",121,33,15
1201571,,"3823 BAY CITY ROAD, MIDLAND MI 48642",173,95,35
1201577,WALNUT RIDGE COMMUNITY,"3201 HAWTHRON DRIVE, JACKSON MI 49201",299,46,14
1201580,SPRINGROVE COMMUNITY,"10771 DIXIE HIGHWAY, DAVISBURG MI 48350",424,52,23
1201582,SHAWNEE MHC,"1558 WEST SHAWNEE ROAD, BARODA MI 49101",161,37,17
1201583,,"505 S BRADLEY, MT PLEASANT MI 48858",144,92,34
1201584,,"515 MASON ROAD, HOWELL MI 48843",458,50,22
1201585,,"9626 OAKHILL ROAD, HOLLY MI 48442",504,52,23
1201593,,"2109 REDWOOD AVE, COLUMBUS MI 48063",380,65,25
1201596,,"1045 NADEAU ROAD, MONROE MI 48162",152,28,16
1201598,COUNTRYSIDE ESTATES,"3200 WEST LAWRENCE HWY, CHARLOTTE MI 48813",4,76,21
1201602,LAWNDALE ESTATES MOBILE HOME COMMUNITY,"4509 LONGMEADOW BLVD W, SAGINAW MI 48603",672,93,35
1201604,OAKBROOK ESTATES II,"4002 DOUGLAS AVE, KALAMAZOO MI 49007",48,41,19
1201610,ST JOHNS ESTATES,"690 NORTH MORTON, ST JOHNS MI 48879",112,75,28
1201611,ORCHARDVIEW ESTATES,"1200 E EMPIRE AVE, BENTON HARBOR MI 49022",131,38,20
1201615,MEADOW STREAMS,"3101 RIVER ROAD, SODUS MI 49126",161,NA,NA
1201617,,"1274 HAMPTON ROAD, ESSEXVILLE MI 48732",102,96,35
1201618,,"11870 HEIDELBERG LANE, WHITMORE LAKE MI 48189",55,49,22
1201620,COUNTRY MANOR ESTATES,"18500 NORTHLAND DR, BIG RAPIDS MI 49307",76,100,34
1201621,,"2725 E FOREST, ROTHBURY MI 49452",40,102,32
1201637,MILWOOD ESTATES,"2515 CORK ST, KALAMAZOO MI 49001",76,41,19
1201647,PEACHTREE MANOR,"7575 DIXIE HWY, BRIDGEPORT MI 48722",86,97,26
1201649,MONTROSE MOBILE HOME PARK,"7228 W FARRAND ROAD, CLIO MI 48420",50,97,26
1201652,LAKE IN THE HILLS MHC,"2700 SHIMMONS ROAD, AUBURN HILLS MI 48326",238,54,7
1201655,,"12277 CONSERVATION TRAIL, SHELBY TOWNSHIP MI 48315",644,59,24
1201657,MILL POND VILLAGE MANUFACTURED HOME COMMUNITY,"1500 OLD MILL LAND, LANSING MI 48911",356,74,21
1201659,BRIDGEPORT MOBILE HOME PARK,"5948 DIXIE HWY, BRIDGEPORT MI 48601",41,94,26
1201660,,"5100 CLYDE PARK AVE, WYOMING MI 49509",165,83,29
1201663,,"705 E 5TH STREET, CLARE MI 48617",25,100,34
1201666,DIAMOND VILLAGE ESTATES,"59733 DECATUR ROAD, CASSOPOLIS MI 49031",50,36,17
1201675,,"2126 LAKESHORE DRIVE, FENNVILLE MI 49408",60,38,20
1201678,,"1300 GLEN PARK DRIVE, SPARTA MI 49345",234,90,33
1201682,,"1700 LAKEVILLA ROAD, OXFORD MI 48371",851,66,24
1201693,,"2555 HENRY RUFF RD, INKSTER MI 48141",70,26,5
1201694,,"130 MOUNDS TRAIL, HOUGHTON LAKE MI 48629",24,105,36
1201696,,"2915 MONTROSE STREET, YPSILANTI MI 48198",112,32,15
1201702,,"4377 OLD PLANK ROAD, MILFORD MI 48381",619,51,23
1201703,SHERIDAN PROPERTY MANAGEMENT,"453 E CONDENSERY ROAD, SHERIDAN MI 48884",26,91,33
1201704,,",",320,41,19
1201714,,"529 EAST MICHIGAN, PARMA MI 49269",11,45,17
1201715,PINE COURT MOBILE HOME COMMUNITY,"W BLUE SPRUCE LANE, MCBAIN MI 49657",15,105,36
1201719,,"3051 EAST TEN MILE ROAD, WARREN MI 48091",170,14,3
1201720,,"953 E MONROE ROAD, ST LOUIS MI 48880",34,92,34
1201728,,"53425 COUNTY ROAD 687, HARTFORD MI 49057",30,39,20
1201729,BRIERS TRAILER COURT,"8467 P5 ROAD, GLADSTONE MI 49837",10,108,38
1201731,WHITEFISH HILL RV PARK AND CAMPGROUND,"8455 US2, RAPID RIVER MI 49878",12,108,38
1201737,,",",46,NA,NA
1201746,ATHERTON CROSSING MHC,"1549 E ATHERTON ROAD, FLINT MI 48507",190,70,27
1201748,CLINTON ESTATES MOBILE HOME COMMUNITY,"1801 W MICHIGAN AVE, CLINTON MI 49236",27,34,15
1201751,,"19250 STATE LINE ROAD, EDWARDSBURG MI 49112",70,36,17
1201756,GUNTHERS MOBILE HOME COURT,"G-63136 N DORT HIGHWAY, MT MORRIS MI 48458",172,67,26
1201757,KRISTANA MOBILE HOME PARK,"1110 E COLEMAN ROAD, LANSING MI 48906",154,75,28
1201759,,"2480 BEVERLY BLVD, FLINT MI 48504",212,69,27
1201764,,"11443 BONNIE DRIVE, SCHOOLCRAFT MI 49087",57,42,19
1201766,,"56630 89TH AVE, DECATUR MI 49045",35,39,20
1201777,,"1716 E LANSING ROAD, CHARLOTTE MI 48813",50,76,21
1201787,SAGINAW VILLAS MHC,"4141 DIXIE HIGHWAY, SAGINAW MI 48601",472,94,35
1201795,STARLIGHT MOBILE HOME PARK,"7175 BISHOP ROAD, BRIGHTON MI 48116",48,49,22
1201805,SUNSET TRAILER VILLAGE,"28730 GRAND RIVER, FARMINGTON HILLS MI 48336",22,18,6
1201807,,"533 GOODRICH ST, VASSAR MI 48768",20,97,26
1201808,GREENBRIAR ESTATES MOBILE HOME PARK,"2500 HOLMES ST, YPSILANTI MI 48198",111,32,15
1201811,INDIANHILLS MANOR MOBILE HOME PARK,"G-6328 NORTH GENESEE ROAD, FLINT MI 48506",429,67,26
1201815,HILLSIDE MOBILE HOME PARK,"857 GLEN AVE, ELBERTA MI 49628",12,104,32
1201818,,"5407 ALOHA DRIVE, CASCO MI 48064",562,63,25
1201821,POPLARS RESORT,"3000 LAKE PLEASANT RD S, OSSEO MI 43266",67,35,16
1201829,AVENUE A,"1267 AVENUE A, SPRINGFIELD MI 49037",145,44,18
1201835,HOLIDAY ESTATES MHP,"46000 GEDDES ROAD, CANTON MI 48188",551,25,5
1201842,SHADY BROOK MOBILE HOME PARK,"43910 30TH STREET, PAW PAW MI 49079",20,39,20
1201848,SUNSET VIEW MOBILE HOME PARK,"926 HILL STREET, PORTLAND MI 48875",35,78,33
1201850,WILLOW VILLAGE MOBILE HOME COURT,"2445 E GRAND RIVER AVE, WILLIAMSTON MI 48895",45,73,28
1201859,,"149 CHARLOTTE STREET, BAD AXE MI 48413",71,98,25
1201868,,"6261 SAGINAW STREET, MT MORRIS MI 48458",138,69,27
1201872,,"400 SOUTH STREET, MARCELLUS MI 49067",43,36,17
1201876,,"1615 TUPPER LAKE STREET, LAKE ODESSA MI 48849",87,78,18
1201877,,"5080 ST JOSEPH AVE, STEVENSVILLE MI 49127",80,38,20
1201884,,"4205 HILLS HAVEN ROAD, BUCHANAN MI 49107",94,37,17
1201889,TOWN AND COUNTRY MOBILE HOME ESTATES,"51005 OLD MICHIGAN AVE, BELLEVILLE MI 48111",137,31,4
1201894,,"4135 DOLAN DRIVE, FLINT MI 48504",216,69,27
1201895,,"1587 PHEASANT RUN DRIVE, FLINT MI 48532",179,69,27
1201902,,"4599 PIGEON ROAD, ELKTON MI 48731",36,98,25
1201905,,"63381 41ST STREET, PAW PAW MI 49079",45,39,20
1201908,FOUR KORNERS ESTATES,"100 TAYLOR ROAD, GWINN MI 49841",14,109,38
1201911,PARK ESTATES,"51300 MICHIGAN AVENUE, BELLEVILLE MI 48111",128,31,4
1201916,LAKECREST MOBILE HOME PARK,"661 LAKECREST DRIVE, COLDWATER MI 49036",21,35,17
1201920,,"12034 E MICHIGAN AVE, GALESBURG MI 49053",71,45,19
1201921,TWIN PINES MHP,"6815 E 11 MILE ROAD, WARREN MI 48092",140,14,3
1201924,,"10987 SILVER LAKE ROAD, SOUTH LYON MI 48178",27,49,22
1201925,,"9120 VIENNA ROAD, MT MORRIS MI 48458",380,69,26
1201926,,"2481 W SHERMAN BLVD., NORTON SHORES MI 49441",116,88,32
1201927,,"65 S. NORTH AVE., WHITE CLOUD MI 49349",47,101,33
1201928,,"1527 W STATE STREET, BELDING MI 48809",150,91,33
1201930,,"215 NORTH CANAL ROAD, LANSING MI 48917",230,76,21
1201932,,"5656 FREEWALD, MILLINGTON MI 48746",10,97,26
1201934,,"414 RUSSELL STREET, ALLEGAN MI 49010",10,43,20
1201939,,"25151 DEQUINDER ROAD, MADISON HEIGHTS MI 48071",116,8,3
1201941,MEADOWBROOK MANOR ESTATES,"7280 W MT MORRIS RD, FLUSHING MI 48433",401,69,27
1201942,,"12060 DIX TOLEDO RD, SOUTHGATE MI 48195",70,2,4
1201944,LANDMARK ESTATES MHP,"21908 DEQUNDRE ROAD, WARREN MI 48091",110,14,3
1201946,,"1055 LINCOLN AVE, HOLLAND MI 49423",69,86,31
1201947,,"3075 DIX HIGHWAY, LINCOLN PARK MI 48146",203,2,1
1201948,,"624 RIPLEY BLVD., ALPENA MI 49707",65,106,36
1201952,,"3170 ORCHARD LAKE ROAD, KEEGO HARBOR MI 48320",93,20,13
1201957,,"3341 PORT AUSTIN ROAD, PORT AUSTIN MI 48467",12,98,25
1201958,PINEVIEW MOBILE HOME PARK,"6385 WHITES BRIDGE RAOD, BELDING MI 48809",20,91,33
1201959,,"11247 PORTAGE ROAD, PORTAGE MI 49002",81,42,19
1201960,BAYSIDE ESTATES,"2420 PINETREE DRIVE, SEBEWAING MI 48759",74,98,25
1201968,BAY CITY MHP,"2836 E BISCAYNE ROAD, BAY CITY MI 48706",61,96,35
