,Name,Address,City.State,ZIP,Sites,Url,House district,Senate district,FullstreetAddress,latitude,longitude,County,state
44,Marysville Farms,"Minnesota Road,","Port Huron, MI",48060,158,https://www.mhvillage.com/parks/29147,64,25,"Minnesota Road, Port Huron, MI 48060",42.94329997,-82.49150896,Saint Clair County,Michigan
45,Minnesota Lake,"1219 Minnesota Road,","Port Huron, MI",48060,161,https://www.mhvillage.com/parks/16018,64,25,"1219 Minnesota Road, Port Huron, MI 48060",42.94099598,-82.494092,Saint Clair County,Michigan
46,Stocks Creek,"3730 Lapeer Rd,","Port Huron, MI",48060,148,https://www.mhvillage.com/parks/29407,64,25,"3730 Lapeer Rd, Port Huron, MI 48060",42.98370702,-82.47678798,Saint Clair County,Michigan
47,Edison Court,"2801 Griswold Street,","Port Huron, MI",48060,62,https://www.mhvillage.com/parks/425,64,25,"2801 Griswold Street, Port Huron, MI 48060",42.96672,-82.45715899,Saint Clair County,Michigan
48,Port Of Call Mobile Home Park,"4125 Dove Road,","Port Huron, MI",48060,148,https://www.mhvillage.com/parks/15934,64,25,"4125 Dove Road, Port Huron, MI 48060",42.94946401,-82.48916696,Saint Clair County,Michigan
49,Fenner's Mobile Village,"4172 Lapeer Road,","Port Huron, MI",48060,NA,https://www.mhvillage.com/parks/15508,64,25,"4172 Lapeer Road, Port Huron, MI 48060",42.98215301,-82.49026298,Saint Clair County,Michigan
50,Richmond Place,"36401 Division Road,","Richmond, MI",48062,117,https://www.mhvillage.com/parks/15145,65,25,"36401 Division Road, Richmond, MI 48062",42.80959699,-82.75138198,Macomb County,Michigan
51,Pinewood on the Lake,"2109 Redwood Avenue,","Columbus, MI",48063,380,https://www.mhvillage.com/parks/421,65,25,"2109 Redwood Avenue, Columbus, MI 48063",42.8386063,-82.66553991,Saint Clair County,Michigan
52,Ravinia Anchor Bay,"5407 Aloha Lane,","Casco, MI",48064,556,https://www.mhvillage.com/parks/15307,63,25,"5407 Aloha Lane, Casco, MI 48064",42.74169,-82.72702903,Saint Clair County,Michigan
53,Springbrook Estates,"71400 Van Dyke Road,","Romeo, MI",48065,398,https://www.mhvillage.com/parks/15147,66,24,"71400 Van Dyke Road, Romeo, MI 48065",42.81994299,-83.01688999,Macomb County,Michigan
54,Romeo Mobile Manor,"400 Notre Dame Boulevard,","Romeo, MI",48065,98,https://www.mhvillage.com/parks/15146,66,24,"400 Notre Dame Boulevard, Romeo, MI 48065",42.807131,-83.00610399,Macomb County,Michigan
55,Roseville Mobile Home Park,"25214 Gratiot Avenue,","Roseville, MI",48066,166,https://www.mhvillage.com/parks/15067,12,11,"25214 Gratiot Avenue, Roseville, MI 48066",42.48105799,-82.94637103,Macomb County,Michigan
56,Ackels Mobile Home Community,"25151 Dequindre Road Lot #31,","Madison Heights, MI",48071,116,https://www.mhvillage.com/parks/15149,8,3,"25151 Dequindre Road Lot #31, Madison Heights, MI 48071",42.47762698,-83.08732497,Oakland County,Michigan
57,Madison Oaks MHC,"26131 Dequindre Road,","Madison Heights, MI",48071,263,https://www.mhvillage.com/parks/15160,8,3,"26131 Dequindre Road, Madison Heights, MI 48071",42.48649202,-83.08993903,Oakland County,Michigan
58,Red Run Park Manufactured Housing Community,"1066 Linda Lane,","Madison Heights, MI",48071,122,https://www.mhvillage.com/parks/15087,57,3,"1066 Linda Lane, Madison Heights, MI 48071",42.50748483,-83.11718119,Oakland County,Michigan
59,The Lakes Estates,"5901 Lapeer Road,","Kimball, MI",48074,254,https://www.mhvillage.com/parks/15987,64,25,"5901 Lapeer Road, Kimball, MI 48074",42.98800702,-82.55953304,Saint Clair County,Michigan
60,Kimball Estates,"5148 Dove Road,","Kimball, MI",48074,68,https://www.mhvillage.com/parks/15510,64,25,"5148 Dove Road, Kimball, MI 48074",42.95099002,-82.52831397,Saint Clair County,Michigan
61,Somerset Meadows,"5665 Griswold Road,","Kimball, MI",48074,160,https://www.mhvillage.com/parks/15561,64,25,"5665 Griswold Road, Kimball, MI 48074",42.95936002,-82.54939001,Saint Clair County,Michigan
62,St. Clair Place,"2700 Cox Road,","Saint Clair, MI",48079,100,https://www.mhvillage.com/parks/15504,64,25,"2700 Cox Road, Saint Clair, MI 48079",42.82740598,-82.51302102,Saint Clair County,Michigan
63,North Pointe Shores,"678 N Riverside Ave,","Saint Clair, MI",48079,NA,https://www.mhvillage.com/parks/126504,63,25,"678 N Riverside Ave, Saint Clair, MI 48079",42.83171499,-82.48332201,Saint Clair County,Michigan
64,Troy Villa,"2100 Stephenson Highway,","Troy, MI",48083,282,https://www.mhvillage.com/parks/15175,56,9,"2100 Stephenson Highway, Troy, MI 48083",42.554554,-83.12287497,Oakland County,Michigan
65,Lafayette Place,"21155 Warner,","Warren, MI",48091,254,https://www.mhvillage.com/parks/15065,14,3,"21155 Warner, Warren, MI 48091",42.451549,-83.07726199,Macomb County,Michigan
66,Landmark Estates MHP,"21908 Dequindre Rd,","Warren, MI",48091,106,https://www.mhvillage.com/parks/221,14,3,"21908 Dequindre Rd, Warren, MI 48091",42.45649801,-83.08149301,Macomb County,Michigan
67,Glennwood Village,"2526 Morrissey Road,","Warren, MI",48091,147,https://www.mhvillage.com/parks/15233,14,3,"2526 Morrissey Road, Warren, MI 48091",42.46689999,-83.07720902,Macomb County,Michigan
68,Shadylane,"2709 Capitol Avenue,","Warren, MI",48091,249,https://www.mhvillage.com/parks/15088,14,3,"2709 Capitol Avenue, Warren, MI 48091",42.46514499,-83.07729501,Macomb County,Michigan
69,Warren Estates,"3193 East Ten Mile Road,","Warren, MI",48091,333,https://www.mhvillage.com/parks/15092,14,3,"3193 East Ten Mile Road, Warren, MI 48091",42.47699901,-83.07213503,Macomb County,Michigan
70,Motor City MHP,"23765 Lawrence,","Warren, MI",48091,126,https://www.mhvillage.com/parks/15079,14,3,"23765 Lawrence, Warren, MI 48091",42.46881601,-83.03158699,Macomb County,Michigan
71,Eckert's Mobile Home Court,"2324 Eleven Mile Road Box 2,","Warren, MI",48091,77,https://www.mhvillage.com/parks/15140,14,3,"2324 Eleven Mile Road Box 2, Warren, MI 48091",42.48913601,-83.07818601,Macomb County,Michigan
72,Woodview Mobile Village,"7062 Ready Avenue,","Warren, MI",48091,NA,https://www.mhvillage.com/parks/15234,14,3,"7062 Ready Avenue, Warren, MI 48091",42.4680879,-83.03188152,Macomb County,Michigan
73,Continental Mobile Village,"20785 Schultes Avenue,","Warren, MI",48091,NA,https://www.mhvillage.com/parks/15093,14,3,"20785 Schultes Avenue, Warren, MI 48091",42.44882002,-83.07077599,Macomb County,Michigan
74,Twin Pines MHP,"6815 11 Mile Road,","Warren, MI",48092,119,https://www.mhvillage.com/parks/15098,14,3,"6815 11 Mile Road, Warren, MI 48092",42.49268499,-83.03648403,Macomb County,Michigan
75,East Village Estates,"57400 Bedford Blvd.,","Washington, MI",48094,708,https://www.mhvillage.com/parks/253,66,24,"57400 Bedford Blvd., Washington, MI 48094",42.71770099,-83.02185702,Macomb County,Michigan
76,Washington Mobile Home Park,"60630 Van Dyke Road,","Washington, MI",48094,100,https://www.mhvillage.com/parks/15102,66,24,"60630 Van Dyke Road, Washington, MI 48094",42.73988802,-83.02911298,Macomb County,Michigan
77,Erie West Mobile Home Community LLC,"Po Box 344,","Washington, MI",48094,NA,https://www.mhvillage.com/parks/106894,66,24,"Po Box 344, Washington, MI 48094",42.7329448,-83.0363204,Macomb County,Michigan
78,Evergreen Mobile Estates,"102 Jean Street,","Yale, MI",48097,15,https://www.mhvillage.com/parks/15509,65,25,"102 Jean Street, Yale, MI 48097",43.132873,-82.78986497,Saint Clair County,Michigan
79,North Hill Village,"504 North Main Street,","Yale, MI",48097,42,https://www.mhvillage.com/parks/15498,65,25,"504 North Main Street, Yale, MI 48097",43.13668199,-82.79741103,Saint Clair County,Michigan
80,Orchard Grove,"2835 South Wagner Rd.,","Ann Arbor, MI",48103,290,https://www.mhvillage.com/parks/391,33,14,"2835 South Wagner Rd., Ann Arbor, MI 48103",42.24523901,-83.79613097,Washtenaw County,Michigan
81,Scio Farms,"6655 Jackson Road,","Ann Arbor, MI",48103,913,https://www.mhvillage.com/parks/15562,47,14,"6655 Jackson Road, Ann Arbor, MI 48103",42.28754202,-83.86490801,Washtenaw County,Michigan
82,Sunnyside Park,"2740 Packard,","Ann Arbor, MI",48108,53,https://www.mhvillage.com/parks/15427,33,15,"2740 Packard, Ann Arbor, MI 48108",42.24331302,-83.71270396,Washtenaw County,Michigan
83,Andover Mobile Home Park,"Packard Road,","Ann Arbor, MI",48108,NA,https://www.mhvillage.com/parks/58190,33,15,"Packard Road, Ann Arbor, MI 48108",42.2450736,-83.70026492,Washtenaw County,Michigan
84,Capitol Hills,"6300 West Adams,","Belleville, MI",48111,503,https://www.mhvillage.com/parks/514,31,4,"6300 West Adams, Belleville, MI 48111",42.19798442,-83.54073156,Wayne County,Michigan
85,American Presidential Estates,"6300 West Adams,","Belleville, MI",48111,503,https://www.mhvillage.com/parks/515,31,4,"6300 West Adams, Belleville, MI 48111",42.19798442,-83.54073156,Wayne County,Michigan
86,Rawsonville Woods,"10825 Rawsonville Road,","Belleville, MI",48111,536,https://www.mhvillage.com/parks/15057,31,4,"10825 Rawsonville Road, Belleville, MI 48111",42.130742,-83.53492304,Wayne County,Michigan
87,Holiday West,"50333 Willis Road,","Belleville, MI",48111,844,https://www.mhvillage.com/parks/15189,31,4,"50333 Willis Road, Belleville, MI 48111",42.154484,-83.53207001,Wayne County,Michigan
88,Holiday Woods,"20749 Martinsville Road,","Belleville, MI",48111,323,https://www.mhvillage.com/parks/15306,31,4,"20749 Martinsville Road, Belleville, MI 48111",42.15161299,-83.45666004,Wayne County,Michigan
89,Belle Villa Meadows,"955 Sumpter Road,","Belleville, MI",48111,246,https://www.mhvillage.com/parks/69874,31,4,"955 Sumpter Road, Belleville, MI 48111",42.19360076,-83.48408533,Wayne County,Michigan
90,Sylvan Valley Estates,"46537 Ecorse Road,","Belleville, MI",48111,17,https://www.mhvillage.com/parks/271,31,4,"46537 Ecorse Road, Belleville, MI 48111",42.246049,-83.496432,Wayne County,Michigan
91,Belleville Manor,"8701 Belleville Road,","Belleville, MI",48111,358,https://www.mhvillage.com/parks/15044,31,4,"8701 Belleville Road, Belleville, MI 48111",42.23802999,-83.48186702,Wayne County,Michigan
92,Belle Villa Lake,"955 Sumpter Road,","Belleville, MI",48111,176,https://www.mhvillage.com/parks/15043,31,4,"955 Sumpter Road, Belleville, MI 48111",42.19360076,-83.48408533,Wayne County,Michigan
93,Van Buren Estates,"16800 Lohr Rd,","Belleville, MI",48111,310,https://www.mhvillage.com/parks/15053,31,4,"16800 Lohr Rd, Belleville, MI 48111",42.17876499,-83.51957301,Wayne County,Michigan
94,Maple Leaf South,"51000 Michigan Avenue,","Belleville, MI",48111,147,https://www.mhvillage.com/parks/15208,31,4,"51000 Michigan Avenue, Belleville, MI 48111",42.2571577,-83.54083348,Wayne County,Michigan
95,Mobile Manor Trailer Park,"600 Sumpter Road,","Belleville, MI",48111,97,https://www.mhvillage.com/parks/15195,31,4,"600 Sumpter Road, Belleville, MI 48111",42.19680498,-83.49000098,Wayne County,Michigan
96,Park Estates,"51300 Michigan Avenue,","Belleville, MI",48111,128,https://www.mhvillage.com/parks/15875,31,4,"51300 Michigan Avenue, Belleville, MI 48111",42.259712,-83.54270203,Wayne County,Michigan
97,Town & Country Estates,"51005 Old Michigan Avenue,","Belleville, MI",48111,137,https://www.mhvillage.com/parks/179,31,4,"51005 Old Michigan Avenue, Belleville, MI 48111",42.254556,-83.54026902,Wayne County,Michigan
98,Belle Creek Mobile Village,"18100 Elwell Road,","Belleville, MI",48111,118,https://www.mhvillage.com/parks/15183,31,4,"18100 Elwell Road, Belleville, MI 48111",42.16968902,-83.50192298,Wayne County,Michigan
99,Lakeview Mobile Homes Court,"745 East Huron River Drive,","Belleville, MI",48111,58,https://www.mhvillage.com/parks/15191,31,4,"745 East Huron River Drive, Belleville, MI 48111",42.21176198,-83.47391603,Wayne County,Michigan
100,Brookdale Farms,"46570 Willis Road,","Belleville, MI",48111,43,https://www.mhvillage.com/parks/15239,31,4,"46570 Willis Road, Belleville, MI 48111",42.16182101,-83.49302702,Wayne County,Michigan
101,Sylvan Glen Estates,"6600 Grand River,","Brighton, MI",48114,476,https://www.mhvillage.com/parks/341,48,22,"6600 Grand River, Brighton, MI 48114",42.56726,-83.82513504,Livingston County,Michigan
102,Brighton Village,"7500 Grand River Rd.,","Brighton, MI",48114,195,https://www.mhvillage.com/parks/388,48,22,"7500 Grand River Rd., Brighton, MI 48114",42.56389802,-83.80501403,Livingston County,Michigan
103,Woodland Park MHP,"8005 West Grand River Avenue,","Brighton, MI",48114,65,https://www.mhvillage.com/parks/15415,49,22,"8005 West Grand River Avenue, Brighton, MI 48114",42.54799082,-83.78957825,Livingston County,Michigan
104,Starlight Trailer Court,"7175 Bishop Road,","Brighton, MI",48116,48,https://www.mhvillage.com/parks/15413,49,22,"7175 Bishop Road, Brighton, MI 48116",42.49788902,-83.75400604,Livingston County,Michigan
105,Brighton Trailer Court,"614 Flint Road,","Brighton, MI",48116,9,https://www.mhvillage.com/parks/15422,49,22,"614 Flint Road, Brighton, MI 48116",42.53436199,-83.78033804,Livingston County,Michigan
106,The Orchards,"3600 Townsquare Boulevard,","Carleton, MI",48117,630,https://www.mhvillage.com/parks/33834,29,16,"3600 Townsquare Boulevard, Carleton, MI 48117",42.07454757,-83.31108769,Monroe County,Michigan
107,Carleton Mobile Home Park,"12500 Jones Rd.,","Carleton, MI",48117,228,https://www.mhvillage.com/parks/15338,29,16,"12500 Jones Rd., Carleton, MI 48117",42.05503502,-83.38757103,Monroe County,Michigan
108,Flat Rock Village,"11150 Telegraph Road,","Carleton, MI",48117,332,https://www.mhvillage.com/parks/15485,29,16,"11150 Telegraph Road, Carleton, MI 48117",42.03790501,-83.32831399,Monroe County,Michigan
109,Yorkshire Manor,"1205 York Blvd.,","Carleton, MI",48117,280,https://www.mhvillage.com/parks/15309,29,16,"1205 York Blvd., Carleton, MI 48117",42.051415,-83.39315497,Monroe County,Michigan
110,Sylvan Crossing,"23351 Redwood Drive,","Chelsea, MI",48118,138,https://www.mhvillage.com/parks/37563,46,14,"23351 Redwood Drive, Chelsea, MI 48118",42.29750299,-84.03955904,Washtenaw County,Michigan
111,Hearthside Community,"17742 Dix Road,","Melvindale, MI",48122,70,https://www.mhvillage.com/parks/15185,3,1,"17742 Dix Road, Melvindale, MI 48122",42.280463,-83.17165898,Wayne County,Michigan
112,Melvindale Mobile Home Park,"18630 Dix Road,","Melvindale, MI",48122,NA,https://www.mhvillage.com/parks/269,3,1,"18630 Dix Road, Melvindale, MI 48122",42.274711,-83.17648897,Wayne County,Michigan
113,Pelham Mobile Home Park,"4128 Pelham Road,","Dearborn Heights, MI",48125,67,https://www.mhvillage.com/parks/15201,15,2,"4128 Pelham Road, Dearborn Heights, MI 48125",42.280255,-83.23189302,Wayne County,Michigan
114,Pat's Trailer Park,"4650 South Telegraph Road,","Dearborn Heights, MI",48125,NA,https://www.mhvillage.com/parks/15200,15,2,"4650 South Telegraph Road, Dearborn Heights, MI 48125",42.27601501,-83.27105402,Wayne County,Michigan
115,Crestwood Estates,"26235 West Warren Avenue,","Dearborn Heights, MI",48127,196,https://www.mhvillage.com/parks/15181,15,2,"26235 West Warren Avenue, Dearborn Heights, MI 48127",42.33974602,-83.29839403,Wayne County,Michigan
116,Dearborn Trailer Park,"21851 West Warren Street,","Dearborn Heights, MI",48127,47,https://www.mhvillage.com/parks/15186,15,2,"21851 West Warren Street, Dearborn Heights, MI 48127",42.34139398,-83.25257503,Wayne County,Michigan
117,Riverside Properties Mobile,"17297 West Outer Drive,","Dearborn Heights, MI",48127,201,https://www.mhvillage.com/parks/15056,15,2,"17297 West Outer Drive, Dearborn Heights, MI 48127",42.335357,-83.26045896,Wayne County,Michigan
118,Country Heritage,"771 Mary Jean Court,","Dundee, MI",48131,213,https://www.mhvillage.com/parks/15969,31,16,"771 Mary Jean Court, Dundee, MI 48131",41.94974499,-83.64974598,Monroe County,Michigan
119,Dundee Meadows,"202 Emerald Circle,","Dundee, MI",48131,80,https://www.mhvillage.com/parks/15951,31,16,"202 Emerald Circle, Dundee, MI 48131",41.96347002,-83.66660701,Monroe County,Michigan
120,Hidden Creek,"6400 South Dixie Highway,","Erie, MI",48133,351,https://www.mhvillage.com/parks/15937,30,16,"6400 South Dixie Highway, Erie, MI 48133",41.73512438,-83.52908862,Monroe County,Michigan
121,Northtowne Meadows,"6255 Telegraph Road,","Erie, MI",48133,386,https://www.mhvillage.com/parks/15734,30,16,"6255 Telegraph Road, Erie, MI 48133",41.73200498,-83.548981,Monroe County,Michigan
122,Erie Mobile Home Village,"6458 South Dixie Highway,","Erie, MI",48133,NA,https://www.mhvillage.com/parks/15486,30,16,"6458 South Dixie Highway, Erie, MI 48133",41.73710302,-83.52724999,Monroe County,Michigan
123,Oakwood Mobile Home Park,"6517 Telegraph Road,","Erie, MI",48133,NA,https://www.mhvillage.com/parks/15481,30,16,"6517 Telegraph Road, Erie, MI 48133",41.73571502,-83.54819,Monroe County,Michigan
124,Deerfield Estates,"26211 Telegraph Road,","Flat Rock, MI",48134,822,https://www.mhvillage.com/parks/15712,28,4,"26211 Telegraph Road, Flat Rock, MI 48134",42.11519399,-83.28059699,Wayne County,Michigan
125,Country Meadows,"3211 Will Carleton Road,","Flat Rock, MI",48134,577,https://www.mhvillage.com/parks/516,29,4,"3211 Will Carleton Road, Flat Rock, MI 48134",42.09414085,-83.32289704,Wayne County,Michigan
126,Tanglewood Village,"25873 Manchester,","Brownstown, MI",48134,248,https://www.mhvillage.com/parks/32806,28,4,"25873 Manchester, Brownstown, MI 48134",42.11758799,-83.26633803,Wayne County,Michigan
127,Flat Rock Terrace,"14210 Telegraph Road,","Flat Rock, MI",48134,123,https://www.mhvillage.com/parks/15487,28,4,"14210 Telegraph Road, Flat Rock, MI 48134",42.08270301,-83.30139802,Monroe County,Michigan
128,Hidden Gardens MHP,"25821 Telegraph Road,","Flat Rock, MI",48134,65,https://www.mhvillage.com/parks/15182,28,4,"25821 Telegraph Road, Flat Rock, MI 48134",42.11688299,-83.27895296,Wayne County,Michigan
