"","Record_No","Status","Expiration_Date","DBA","Owner / Community_Name","Location_Address","Zip_Code","Mailing_Address","County","Community_Phone","Total_#_Sites","Issued_Date","Operator_Name","Operator_Phone","Operator_email","latitude","longitude"
"11","1200071","Issued",2027-10-01,NA,"ELEVATE FARMINGTON LLC","22600 MIDDLEBELT RD, FAARMINGTON HILLS MI 48024","48024","PO BOX 927215, SAN DIEGO, CA 92192","OAKLAND","6615479567","226","01/31/1979","DEMETRE BOOKER JR","6615479567","DEMETREBOOKER@GMAIL.COM",NA,NA
"12","1200118","Issued",2027-10-01,NA,"LITTLE VALLEY ESTATES, INC","20832 TUCK ROAD, FARMINGTON HILLS, MI 48024","48024","45225 GRAND RIVER AVE, NOVI, MI 48375","OAKLAND","No Phone","158","02/02/1979","MARK M RAUKAR","2483492500","MattRaukar@lvhomes.net",42.4434482,-83.3460327
"13","1200138","Issued",2027-10-01,NA,"MAYWOOD ESTATES LLC","20741 TUCK ROAD, FARMINGTON, MI 48024","48024","45225 GRAND RIVER AVE, NOVI, MI 48375","OAKLAND","2488489434","34","02/02/1979","MARK M RAUKAR","2483492500","MattRaukar@lvhomes.net",42.4417628,-83.3459456
"14","1201880","Issued",2027-10-01,"HIGHLAND HILLS","CC HIGHLAND HILLS PROPERTY LLC","1200 W HIGHLAND ROAD, HIGHLAND MI 48031","48031","PO BOX 7008, BLOOMFIELD HILLS, MI 48302","OAKLAND","2488872000","306","10/21/2021","JEFFREY DAVIDSON","2487783198","jdavidson@cambiomhc.com",42.6391894,-83.6326823
"15","1201036","Issued",2027-10-01,NA,"SUNRISE COMMUNITY LLC","5690 HARRIS ROAD, JEDDO, MI 48032","48032","5690 HARRIS RD - LOT 16A, JEDDO, MI 48032","ST CLAIR","No Phone","48","04/07/1986","VIRGINIA M CAMPBELL","8103272003","staciecam@msn.com",NA,NA
"16","1201792","Issued",2027-10-01,NA,"MCM MI VILLAGE SQUARE LLC","875 W GRAND RIVER AVE., #75, WILLIAMSTON MI 48033","48033","10455 RIVERSIDE DR., STE. 210, PALM BEACH GARDENS, FL 33410","INGHAM","2489779543","99","10/15/2020","AMIN J KHOURY","262-215-7111","kcreager@mcmhomes.us",NA,NA
"17","1200979","Issued",2027-10-01,"EAST VILLAGE ESTATES","SR EAST LLC","57400 BEDFORD BLVD, WASHINGTON MI 48034","48034","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","MACOMB","No Phone","708","10/15/1980","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",42.71743,-83.0220163
"18","1200128","Issued",2027-10-01,NA,"WINDSOR FARMS MI LLC","23680 SANDPIPER DRIVE, CLINTON TOWNSHIP, MI 48036","48036","4600 COX RD STE 400, GLEN ALLEN, VA 23060","MACOMB","No Phone","633","02/02/1979","ROSS DEBOLT","8049672567","RDEBOLT@PLNDV.COM",42.615124,-82.8683487
"19","1201024","Issued",2027-10-01,"RUDGATE CLINTON MOBILE HOME PARK","RUDGATE CLINTON COMPANY LTD","20475 FOSTER DR, CLINTON TOWNSHIP MI 48036","48036","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","MACOMB","2486896060","667","11/06/1984","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",42.579058,-82.915744
"20","1201162","Issued",2027-10-01,"SILVER SPRINGS","RUDGATE SILVER SPRINGS LLC","43600 PARK DRIVE WEST, CLINTON TOWNSHIP, MI 48036","48036","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","MACOMB","No Phone","547","01/11/1996","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",42.616146,-82.876912
"21","1201444","Issued",2027-10-01,"PARKWAY VILLAGE ML","MHC AFFORDABLE HOUSING ML LLC","23500 S KEYSTONE WAY, CLINTON TOWNSHIP MI 48036","48036","316 W 2ND ST., STE. 1104, LOS ANGELES, CA 90012","MACOMB","5864680948","242","12/16/2016","KWAME GRANDERSON","6266532727","dennis.duling@mhccapitallc.com",42.6122588,-82.865567
"22","1201786","Issued",2027-10-01,NA,"RIVER'S EDGE OF CLINTON TOWNSHIP LLC","38000 LECHATEAU BLVD, CLINTON TOWNSHIP MI 48038","48038","51 W CENTER STREET, STE. 600, OREM, UT 84057","MACOMB","3852513804","1000","09/15/2020","ROBISON PRATT","3852513804","cassidy@havenparkmgmt.com",NA,NA
"23","1201437","Expired",2024-10-01,NA,"FSI AVON PROPERTY LLC","2889 SANDPIPER STREET, ROCHESTER HILLS MI 48039","48039","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","OAKLAND","2487783198","616","12/05/2016","JOSH SONNE","248-778-3200","legal@yescommunities.com",42.6358248,-83.183867
"24","1200281","Issued",2027-10-01 15:24:54,NA,"CASTAWAY COVE LLC","6609 S RIVER RD, MARINE CITY MI 48039","48039","65 MACOMB PLACE  STE F, MT CLEMENS, MI 48043","ST CLAIR","5862281300","38","03/20/1979","GAETANO RIZZO","5862281300","D.MACEWAN@GTRCOMPANIES.COM",NA,NA
"25","1200629","Issued",2027-10-01,"SHANGRI LA VILLAGE MOBILE HOME COMMUNITY","SHANGRI-LA PARTNERS LLC","6900 SOUTH RIVER ROAD, MARINE CITY, MI 48039","48039","139 WALNUT BLVD, ROCHESTER, MI 48307","ST CLAIR","No Phone","271","06/19/1979","DANIEL VANDOORNE","2486018400","DVANDOORNE@WEBUYPARKS.COM",NA,NA
"26","1201358","Issued",2027-10-01,NA,"MARYSVILLE VILLA ESTATES MHC","3333 RAVENSWOOD, MARYSVILLE MI 48040","48040","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","ST CLAIR","No Phone","232","12/14/2015","JOSH SONNE","3034837300","businesslicensing@yescommunities.com",42.93671,-82.464596
"27","1201623","Issued",2027-10-01,"SEAWAY RANCH MHC","SEAWAY PARTNERS LLC","50 MACK AVENUE, MARYSVILLE MI 48040","48040","139 WALNUT BLVD, ROCHESTER, MI 48307","ST CLAIR","8108244588","156","01/25/2019","CHARLYNN GRACE","2486018400","cgrace@webuyparks.com",42.8861931,-82.4785193
"28","1200047","Issued",2027-10-01,NA,"GRANITE WILLOW POINT LLC","43400 LENFESTY, MT. CLEMENS, MI 48043","48043","4742 N 24TH ST  STE 325, PHOENIX, AZ 85016","MACOMB","No Phone","299","01/09/1979","VIRGINIA CAMPBELL","6026006811","LICENSING@INSPRIECOMMUNITIES.COM",NA,NA
"29","1200122","Issued",2027-10-01,"LAKESHORE VILLAGE MOBILE HOME PARK","KRISHAN KUMAR KALIA","35922 E. JEFFERSON, HARRISON TWP., MI 48043","48043","25235 ANCHORAGE, HARRISON TWP, MI 48045","MACOMB","No Phone","45","02/02/1979","KAMLESH KALIA","5868508476","kaliakamlesh@gmail.com",42.5571853,-82.8534425
"30","1200263","Issued",2027-10-01,"SUN CAMELOT VILLA","SUN CAMELOT VILLA LLC","17111 HALL ROAD, MACOMB, MI 48044","48044","27777 FRANKLIN ROAD SUITE 300, SOUTHFIELD, MI 48034","MACOMB","5862860618","712","03/20/1979","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",42.6283447,-82.9504269
"31","1201434","Issued",2027-10-01,"WESTBRIDGE","FSI WESTBRIDGE WESTBROOK PROPERTY LLC","45301 CHATEAU THIERRY BLVD, MACOMB MI 48044","48044","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","MACOMB","(586) 469-2148","1425","11/29/2016","JOSH SONNE","720-640-7190","JSonne@yescommunities.com",42.63162,-82.904055
"32","1201435","Issued",2027-10-01,"WESTBROOK","FSI WESTBRIDGE WESTBROOK PROPERTY LLC","45013 CATALPA BLVD, MACOMB MI 48044","48044","5050 S SYRACUSE ST  STE 1200, DENVER, CO 80237","MACOMB","2487793198","388","11/29/2016","JOSHUA SONNE","3034837300","BUSINESSLICENSING@YESCOMMUNITIES.COM",42.6296404,-82.9014377
"33","1200132","Issued",2027-10-01,NA,"BLUE SKY MOBILE HOME PARK LLC","36530 JEFFERSON AVE, MT. CLEMENS, MI 48045","48045","36530 JEFFERSON AVE, ,  # 104HARRISON TWP, MI 48045","MACOMB","No Phone","134","02/02/1979","GEORGE HANNISH","586-421-5645",NA,NA,NA
"34","1201994","Issued",2027-10-01,NA,"27860 HICKLER LANE LLC","27860 HICKLER LN, HARRISON TOWNSHIP MI 48045","48045","511 BALLANTYNE ROAD, GROSSE POINT SHORES, MI 48236","MACOMB","3135206245","24","11/22/2022","CAROLYN CASSAR","3135206245","gvcassar@gmail.com",42.5668144,-82.837936
"35","1200852","Issued",2027-10-01,"LAKEVIEW ESTATES","FJPARKER LLC","37111 MAIN STREET, NEW BALTIMORE, MI 48047","48047","PO BOX 154, NEW BALTIMORE, MI 48047-0154","MACOMB","No Phone","42","10/11/1979","FRED PARKER","5864843961","Parkerpattern@sbcglobal.net",42.6843855,-82.7282004
"36","1201468","Issued",2027-10-01,NA,"MARC QUAIL RUN LLC","33099 WILLOW LANE, LENOX TOWNSHIP MI 48048","48048","900 SKOKIE BLVD., STE. 285, NORTHBROOK, IL 60062","MACOMB","5867498812","340","04/13/2017","DAVID S WORTH","8478812007","dw@raviniacommunities.com",NA,NA
"37","1201536","Issued",2027-10-01,NA,"FSI MILLSTONE POND PROPERTY LLC","37781 SANDSTONE TRAIL, LENOX MI 48048","48048","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","MACOMB","5867250099","463","05/01/2018","JOSH SONNE","2487783200","legal@yescommunities.com",NA,NA
"38","1201578","Issued",2027-10-01,"MEADOW CREEK COMMUNITY","MEADOW CREEK TITLEHOLDER LLC","58701 MEADOW CREEK BLVD, NEW HAVEN MI 48048","48048","17757 US HIGHWAT 19N  STE 560, CLEARWATER, FL 33759","MACOMB","5867499890","433","09/07/2018","CHARLES CROOK","7276081700","CCROOK@LIVEWINDWARD.COM",NA,NA
"39","1201579","Issued",2027-10-01,"RIVERBROOK COMMUNITY","RIVERBROOK TITLEHOLDER, LLC","59477 HARDY LANE, NEW HAVEN MI 48048","48048","17757 US HWY 19N  STE 560, CLEARWATER, FL 33764","MACOMB","586-749-3404","390","09/07/2018","CHARLES CROOK","7276081700","CCROOK@LIVEWINDWARD.COM",42.7394576,-82.7829281
"40","1200630","Issued",2027-10-01,"HIGHLAND HILLS ESTATES","HIGHLAND HILLS ESTATES ASSOCIATES","25600 SEELEY, NOVI, MI 48050","48050","PO BOX 339687, FARMINGTON HILLS, MI 48333","OAKLAND","No Phone","198","06/19/1979","GARY W GRIGLAK","2488512700","ggriglak@lautrecltd.com",42.478972,-83.445455
"41","1200068","Issued",2027-10-01,NA,"HIDDEN LAKE ESTATES MI LLC","505 NORTH ROCHESTER ROAD, LEONARD, MI 48051","48051","4600 COX RD STE 400, GLEN ALLEN, VA 23060","OAKLAND","No Phone","269","01/31/1979","ROSS DEBOLT","8048643687","SGAYNER@PINDV.COM",42.8092045,-83.1348298
"42","1201440","Issued",2027-10-01,NA,"FSI FAIRCHILD PROPERTY LLC","49645 AU LAC DRIVE EAST, CHESTERFIELD MI 48051","48051","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","MACOMB","2487783198","345","12/12/2016","JOSH SONNE","2487783200","legal@yescommuinities.com",42.6660626,-82.8560158
"43","1201474","Issued",2027-10-01,NA,"PINE CREST ESTATES MHC LLC","30086 PINEVIEW CIRCLE, CHESTERFIELD MI 48051","48051","6547 N AVONDALE, CHICAGO, IL 60631","MACOMB","5869499400","214","04/26/2017","EDWARD ZEMAN","773-449-7255","licenses@zemanhomes.com",42.6868239,-82.8037573
"44","1202049","Issued",2027-10-01,NA,"CARRIAGE WAY OF CHESTERFIELD LLC","29800 GUILFORD CIRCLE, CHESTERFIELD MI 48051","48051","51 W. CENTER STREET, STE. 600, OREM, UT 84057","MACOMB","3852474958","798","09/12/2023","ROBISON PRATT","3852474958","bmcdaniel@havenparkmgmt.com",42.685159,-82.810317
"45","1201814","Issued",2027-10-01,"SYLVAN LAKE ESTATES MHC","CC SYLVAN LAKE PROPERTY LLC","451 S TELEGRAPH ROAD, PONTIAC MI 48053","48053","PO BOX 7008, BLOOMFIELD HILLS, MI 48302","OAKLAND","2483351751","82","02/23/2021","JEFFREY DAVIDSON","2487783198","jdavidson@cambiomhc.com",42.6216181,-83.323458
"46","1200079","Issued",2027-10-01,"RIVERS EDGE, A QUIET COMMUNITY","PROGRESSIVE COMMUNITIES ECSC, LLC","60 HATHAWAY STREET, ST. CLAIR, MI 48054","48054","12900 HALL RD STE 322, STERLING HEIGHTS, MI 48313","ST CLAIR","No Phone","51","02/01/1979","STACY BUSS","5863545044","stacybuss@me.com",42.8059641,-82.4878839
"47","1200074","Issued",2027-10-01,NA,"COLLEGE HEIGHTS ASSOCIATES, LLC","3501 AUBURN ROAD, AUBURN HEIGHTS, MI 48057","48057","31200 NORTHWESTERN HWY, FARMINGTON HILLS, MI 48334","OAKLAND","2486260737","162","01/31/1979","JOEL BROWN","2486260737",NA,NA,NA
"48","1201039","Issued",2027-10-01,"SHEFFIELD ESTATES MHP","SHEFFIELD MHP, LLC","165 OPDYKE, AUBURN HILLS, MI 48057","48057","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","OAKLAND","2483323400","228","06/24/1986","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",42.6378637,-83.2495731
"49","1201042","Issued",2027-10-01,NA,"TORREY HILLS MI LLC","5406 TORREY RD, FLINT, MI 48057","48057","4600 COX RD STE 400, GLEN ALLEN, VA 23060","GENESEE","No Phone","377","11/12/1986","ROSS DEBOLT","8049672567","RDEBOLT@PLNDV.COM",42.9479218,-83.7318279
"50","1201082","Issued",2027-10-01,"BIRCHWOOD ESTATES","PORT BUILDERS, INC","4335 24TH AVE, FORT GRATIOT, MI 48059","48059","4335 24TH AVE, FORT GRATIOT, MI 48059","ST CLAIR","8103857100","195","12/21/1988","JOHN R SPARLING","8103858661","birchwoodestates@yahoo.com",43.0339793,-82.4565366
"51","1201256","Issued",2027-10-01,"BIRCHWOOD ESTATES WEST","KEEWAHDIN ENTERPRISES, LLC","3211 KEEWAHDIN ROAD, FORT GRATIOT, MI 48059","48059","3211 KEEWAHDIN RD LOT 59, FORT GRATIOT, MI 48059","ST CLAIR","8103858661","147","12/21/2001","GREGORY L SPARLING","8105311156",NA,43.039226,-82.465159
"52","1201408","Issued",2027-10-01,"BRANDYMORE PINES MHC","BRANDYMORE PARTNERS LLC","4400 KRAFFT RD, FORT GRATIOT MI 48059","48059","139 WALNUT BLVD, ROCHESTER, MI 48307","ST CLAIR","8103851800","192","05/17/2016","STEVEN R UREEL","2486018400","mlaber@webuyparks.com",43.0236079,-82.5128384
"53","1201453","Issued",2027-10-01,NA,"INDIAN TRAIL MHC LLC","3650 METCALF ROAD, BURTCHVILLE MI 48059","48059","16925 GEORGINA, BEVERLY HILLS, MI 48025","ST CLAIR","8103857411","496","01/18/2017","LYNN GRANATA","2484109020","lynn@harmonycommunities.com",43.0829308,-82.4857538
"54","1200651","Issued",2027-10-01,"FENNERS MOBILE VILLAGE","JAMES A RADATZ","4172 LAPEER ROAD, PORT HURON, MI 48060","48060","PO BOX 611385, PORT HURON, MI 48061-1385","ST CLAIR","8109857911","35","06/19/1979","JAMES A RADATZ","8109857911","JIMRADATZ4172@COMCAST.NET",42.978195,-82.4570039
"55","1201208","Issued",2027-10-01,"MINNESOTA LAKE","HIDDEN LAKE DEVELOPMENT COMPANY, INC","1219 MINNESOTA ROAD, PORT HURON, MI 48060","48060","1219 MINNESOTA RD, PORT HURON, MI 48060","ST CLAIR","8103889240","161","08/23/1999","DAVID H BODDY","8103889240","MINNESOTALAKE@YAHOO.COM",NA,NA
"56","1201216","Issued",2027-10-01,NA,"MARYSVILLE FARMS LLC","236 SYCAMORE CT, PORT HURON, MI 48060","48060","4269 DOVE RD, PORT HURON, MI 48060","ST CLAIR","No Phone","184","12/13/1999","BRADFORD S ELVIDGE","8103647799","brad@marysvillefarms.com",NA,NA
"57","1201301","Issued",2027-10-01 13:40:35,NA,"PORT OF CALL MHP LLC","4125 DOVE ROAD, PORT HURON MI 48060","48060","PO BOX 130, MARYSVILLE, MI 48060","ST CLAIR","8104881155","146","09/08/2003","RICK NANCY JAHN","8104881155","CUTNTRIM@ROCKETMAIL.COM",NA,NA
"58","1201345","Issued",2027-10-01,NA,"STOCKS CREEK MI LLC","3730 LAPEER RD, PORT HURON MI 48060","48060","4600 COX RD STE 400, GLEN ALLEN, VA 23060","ST CLAIR","No Phone","148","06/08/2012","ROSS DEBOLT","8049672567","RDEBOLT@PLNDV.COM;jgrace@plndv.com",42.978195,-82.4570039
"59","1201726","Issued",2027-10-01,"EDISON COURT MHC","EDISON COURT PARTNERS LLC","2801 GRISWOLD RD, PORT HURON MI 48060","48060","139 WALNUT BLVD, ROCHESTER, MI 48307","ST CLAIR","2486018400","64","12/23/2019","STEVEN UREEL","2486018400","SUREEL@WEBUYPARKS.COM",NA,NA
"60","1200885","Issued",2027-10-01,"RICHMOND PLACE ESTATES MANUFACTURED HOME COMMUNI","SUN RICHMOND LLC","36401 DIVISION ROAD, RICHMOND, MI 48062","48062","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","MACOMB","5867279580","117","10/12/1979","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",42.8093294,-82.7507398
"61","1200794","Issued",2027-10-01,"ROCHESTER ESTATES","ROCHESTER ASSOCIATES","700 LEGRAND, ROCHESTER, MI 48063","48063","PO BOX 339687, FARMINGTON HILLS, MI 48333","OAKLAND","8108512700","775","08/24/1979","GARY W GRIGLAK","8108512700",NA,NA,NA
"62","1201593","Issued",2027-10-01,NA,"MC PINEWOOD PROPERTY LLC","2109 REDWOOD AVE, COLUMBUS MI 48063","48063","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","ST CLAIR","No Phone","380","09/21/2018","JOSH SONNE","2487783200","legal@yescommunities.com",NA,NA
"63","1201818","Issued",2027-10-01,NA,"RAVINIA ANCHOR BAY LLC","5407 ALOHA LANE, CASCO MI 48064","48064","900 SKOKIE BLVD., STE. 285, NORTHBROOK, IL 60062","ST CLAIR","5867495169","562","03/05/2021","DAVID WORTH","224-261-8624","tracy@raviniacommunities.com",42.7386563,-82.7277498
"64","1200193","Issued",2027-10-01,NA,"ROMEO MOBILE MANOR, INC","400 NOTRE DAME BLVD., ROMEO, MI 48065","48065","400 NOTRE BLVD PO BOX 314, ROMEO, MI 48065","MACOMB","5867527207","98","03/02/1979","SHERMAN GRAYVOLD","8104443897","smarkgrayvold@gmail.com",42.80698,-83.006181
"65","1201644","Issued",2027-10-01,NA,"SPRINGBROOK ESTATES I LLC","71400 VAN DYKE ROAD, ROMEO MI 48065","48065","51 W CENTER ST., STE. 600, OREM, UT 84057","MACOMB","4356591021","403","03/12/2019","GERALD VAN TASSELL","4356591021","gerald@havenparkmgmt.com",42.8114286,-83.0190398
"66","1200403","Issued",2027-10-01,NA,"ROSEVILLE MHP LLC","25214 GRATIOT AVE, ROSEVILLE MI 48066","48066","PO BOX 620130, OVIEDO, FL 32762","MACOMB","5865856475","166","04/05/1979","ZACHARY PARKER","7657305095","ZAC@KEELTEAM.COM",42.5051634,-82.9312159
"67","1200109","Issued",2027-10-01,NA,"RED RUN LLC","1066 LINDA LANE, MADISON HEIGHTS MI 48071","48071","2265 LIVERNOIS RD STE 500, TROY, MI 48083","OAKLAND","No Phone","123","02/02/1979","KAMAL H SHOUHAYIB","2483624150",NA,42.5074708,-83.1168099
"68","1201939","Issued",2027-10-01,NA,"YES ACKELS LLC","25151 DEQUINDER ROAD, MADISON HEIGHTS MI 48071","48071","5050 S SYRACUSE  STE 1200, DENVER, CO 80237","OAKLAND","248-543-1210","116","05/25/2022","JOSHUA SONNE","3034837300","BUSINESSLICENSING@YESCOMMUNITIES.COM",NA,NA
"69","1202059","Issued",2027-10-01,NA,"BEACON MADISON OAKS HOMES LLC","26131 DEQUINDRE ROAD, MADISON HEIGHTS MI 48071","48071","31550 NORTHWESTERN HIGHWAY, STE. 220, FARMINGTON HILLS, MI 48334","OAKLAND","2485455800","263","10/18/2023","ALEX HORVAT","2488650066","MSRECOMPLIANCE@MSHAPIROREALESTATE.COM",42.486287,-83.085044
"70","1201191","Issued",2027-10-01,NA,"LAKES MHP LLC","5901 LAPEER ROAD, KIMBALL MI 48074","48074","16925 GEORGINA, BEVERLY HILLS, MI 48025","ST CLAIR","248-410-9020","313","09/08/1998","LYNN GRANATA","248-410-9020","lynn@harmonycommunities.com",NA,NA
"71","1201351","Issued",2027-10-01,"SOMERSET MEADOWS MHC","TLP SOMERSET MEADOWS PROPERTY LLC","5655 BLUERIDGE AVE, KIMBALL MI 48074","48074","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","ST CLAIR","No Phone","162","11/19/2015","JOSH SONNE","3034837300","businesslicensing@yescommunities.com",NA,NA
"72","1201797","Issued",2027-10-01,NA,"KIMBALL ESTATES COMMUNITY LLC","5148 DOVE RD, KIMBALL TWP MI 48074","48074","16925 GEORGINA, BEVERLY HILLS, MI 48025","ST CLAIR","8109668000","68","12/02/2020","LYNN GRANATA","2484109020","LYNN@HARMONYCOMMUNITIES.COM",NA,NA
"73","1200709","Issued",2027-10-01,"STRATFORD VILLA MOBILE HOME PARK","STRATFORD VILLA ASSOCIATES LTD","3333 STRATFORD WAY, WIXOM, MI 48076","48076","PO BOX 339687, FARMINGTON HILLS, MI 48333","OAKLAND","8108512700","409","07/13/1979","GARY W GRIGLAK","8108512700",NA,NA,NA
"74","1200008","Issued",2027-10-01,"STERLING ESTATES","C E ASSOCIATES","43475 LAGRAND, STERLING HEIGHTS, MI 48078","48078","PO BOX 339687, FARMINGTON HILLS, MI 48333","MACOMB","No Phone","760","12/12/1978","GARY W GRIGLAK","2488512700",NA,NA,NA
"75","1200494","Issued",2027-10-01,"RUDGATE MANOR MOBILE HOME PARK","RUDGATE VILLAGE COMPANY LTD","5150 RUDGATE BLVD, STERLING HEIGHTS, MI 48078","48078","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","MACOMB","2486896060","931","04/25/1979","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",42.5911214,-83.0582459
"76","1200886","Issued",2027-10-01,"ST CLAIR PLACE ESTATES MANUFACTURED HOME COMMUN","SUN POOL 3, LLC","2700 COX, ST. CLAIR, MI 48079","48079","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","ST CLAIR","8103299691","100","10/12/1979","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",42.827574,-82.509415
"77","1201576","Issued",2027-10-01,"CLINTON RIVER COMMUNITY","CLINTON RIVER TITLEHOLDER, LLC","4125 RIVERVIEW CIRCLE, MT CLEMENS MI 48083","48083","17757 US HWY 19 N  STE 560, CLEARWATER, FL 33764","MACOMB","5864630809","132","09/07/2018","CHARLES CROOK","7276081700","CCROOK@LIVEWINDWARD.COM",42.593721,-82.8627697
"78","1201853","Issued",2027-10-01,"TROY VILLA MANUFACTURED HOME COMMUNITY","SUN TROY VILLA LLC","2100 STEPHENSON HWY, TROY MI 48083","48083","27777 FRANKLIN ROAD, STE. 300, SOUTHFIELD, MI 48034","OAKLAND","248-689-1167","282","07/20/2021","BRUCE THELEN","2482082500","licensing@suncommunities.com",42.5554526,-83.1269044
"79","1200367","Issued",2027-10-01,"GLENN WOOD MOBILE VILLAGE","GLENN WOOD MOBILE ASSOCIATES","2526 MORRISSEY, WARREN, MI 48090","48090","PO BOX 339687, FARMINGTON HILLS, MI 48333","MACOMB","No Phone","147","03/28/1979","GARY W GRIGLAK","2488512700",NA,42.4672789,-83.0782184
"80","1200120","Issued",2027-10-01,"ECKERTS MOBILE HOME COURT","PATRICIA C ECKERT & MATTHEW WACHOSKI","2324 ELEVEN MILE ROAD BOX 2, WARREN, MI 48091","48091","2324 ELEVEN MILE RD BOX 2, WARREN, MI 48091","MACOMB","5867549729","77","02/02/1979","MATTHEW WACHOSKI","586-482-2327","mattknowitall@sbcglobal.net",NA,NA
